DT_GERACAO;HH_GERACAO;ANO_ELEICAO;DS_IDENTIFICACAO_RECURSO;NR_RECURSO;DT_AUTUACAO;DT_BAIXA;NR_PROCESSO_ORIGEM;SG_UF_TRIBUNAL_ORIGEM;NR_INSTANCIA_ORIGEM;SG_UF_TRIBUNAL;NR_INSTANCIA;DT_DISTRIBUICAO;CD_TIPO_DISTRIBUICAO;DS_TIPO_DISTRIBUICAO;CD_RELATOR;NM_RELATOR;CD_TIPO_CARGO_RELATOR;DS_TIPO_CARGO_RELATOR;CD_CLASSE;SG_CLASSE;DS_CLASSE;CD_ASSUNTO_PRINCIPAL;DS_ASSUNTO_PRINCIPAL;DS_TIPO_RECURSO;DS_NATUREZA_RECURSO;ST_CONCLUSO;QT_DECISOES;DT_ULTIMA_DECISAO;DS_ULTIMA_DECISAO
03/12/2023;05:05:43;2022;Processo;65238063;10/09/2022;;0604635-74.2022.6.26.0000;SP;26;SP;2;09/11/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;11541;Rp;REPRESENTAÇÃO;11655;Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa;Agravo;Externo;0;11;28/nov/23;
03/12/2023;05:05:43;2022;Processo;65238065;10/09/2022;;0604635-74.2022.6.26.0000;SP;26;SP;2;09/11/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;11541;Rp;REPRESENTAÇÃO;11655;Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa;Agravo;Externo;0;11;28/nov/23;
03/12/2023;05:05:43;2022;Processo;64460716;10/09/2022;;0604635-74.2022.6.26.0000;SP;26;SP;2;09/11/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;11541;Rp;REPRESENTAÇÃO;11655;Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa;Agravo;Externo;0;11;28/nov/23;
03/12/2023;05:05:43;2022;Processo;64413083;10/09/2022;;0604635-74.2022.6.26.0000;SP;26;SP;2;09/11/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;11541;Rp;REPRESENTAÇÃO;11655;Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa;Recurso;Interno;0;11;28/nov/23;
03/12/2023;05:05:43;2022;Processo;64290825;18/07/2022;;0600287-13.2022.6.26.0000;SP;26;SP;2;23/11/2023;;;8;Gabinete do Jurista II;13;Magistrado;11541;Rp;REPRESENTAÇÃO;11667;Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada;Agravo;Externo;1;10;06-SEP-22;
03/12/2023;05:05:43;2022;Processo;64224675;18/07/2022;;0600287-13.2022.6.26.0000;SP;26;SP;2;23/11/2023;;;8;Gabinete do Jurista II;13;Magistrado;11541;Rp;REPRESENTAÇÃO;11667;Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada;Embargos de Declaração;Interno;1;10;06-SEP-22;
03/12/2023;05:05:43;2022;Processo;64131351;18/07/2022;;0600287-13.2022.6.26.0000;SP;26;SP;2;23/11/2023;;;8;Gabinete do Jurista II;13;Magistrado;11541;Rp;REPRESENTAÇÃO;11667;Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada;Recurso;Interno;1;10;06-SEP-22;
03/12/2023;05:05:43;2022;Processo;65465215;13/09/2022;09/11/2023;0606211-05.2022.6.26.0000;SP;26;SP;2;06/12/2022;;;8;Gabinete do Jurista II;13;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Recurso;Interno;0;5;16-OCT-23;
03/12/2023;05:05:43;2022;Processo;65308295;13/09/2022;09/11/2023;0606211-05.2022.6.26.0000;SP;26;SP;2;06/12/2022;;;8;Gabinete do Jurista II;13;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Embargos de Declaração;Interno;0;5;16-OCT-23;
03/12/2023;05:05:43;2022;Processo;65062813;13/09/2022;09/11/2023;0606211-05.2022.6.26.0000;SP;26;SP;2;06/12/2022;;;8;Gabinete do Jurista II;13;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Embargos de Declaração;Interno;0;5;16-OCT-23;
